,target_code,target_description,concept_x,concept_y
863,198776004,Unspecified abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
864,198770005,Unspecified abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
865,587061000000104,Unspecified abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
866,587071000000106,Unspecified abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
867,198774001,Unspecified abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
868,198779006,Unspecified abortion with no mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
869,639921000000100,Unspecified abortion with no mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
870,198777008,Unspecified abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
871,639901000000109,Unspecified abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
872,587081000000108,Unspecified abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
873,198773007,Unspecified abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
874,198775000,Unspecified abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
875,639881000000106,Unspecified abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
876,2787008,"Unspecified abortion with specified complication, NEC",,"Spontaneous abortion; Incomplete, complicated by embolism"
877,613981000000107,Unspecified legal abortion with no mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
878,198643007,Unspecified spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
879,672451000000105,Unspecified spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
880,650801000000107,Unspecified spontaneous abortion with complication NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
881,198641009,Unspecified spontaneous abortion with complication NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
882,642911000000100,Unspecified spontaneous abortion with damage to pelvic organs or tissues,,"Spontaneous abortion; Incomplete, complicated by embolism"
883,198634003,Unspecified spontaneous abortion with damage to pelvic organs or tissues,,"Spontaneous abortion; Incomplete, complicated by embolism"
884,685531000000103,Unspecified spontaneous abortion with delayed or excessive haemorrhage,,"Spontaneous abortion; Incomplete, complicated by embolism"
885,267189005,Unspecified spontaneous abortion with delayed or excessive haemorrhage,,"Spontaneous abortion; Incomplete, complicated by embolism"
886,650781000000106,Unspecified spontaneous abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
887,198638000,Unspecified spontaneous abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
888,677041000000102,Unspecified spontaneous abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
889,267188002,Unspecified spontaneous abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
890,198636001,Unspecified spontaneous abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
891,640491000000100,Unspecified spontaneous abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
892,198640005,Unspecified spontaneous abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
893,650791000000108,Unspecified spontaneous abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
894,642921000000106,Unspecified spontaneous abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
895,198635002,Unspecified spontaneous abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
896,198637005,Unspecified spontaneous abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
897,640501000000106,Unspecified spontaneous abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
898,650811000000109,Unspecified spontaneous abortion without mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
899,198642002,Unspecified spontaneous abortion without mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
900,428641000000105,[X]Other abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
901,70317007,Abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
902,26022006,Abortion in first trimester,,"Spontaneous abortion; Incomplete, complicated by embolism"
903,63748000,Abortion in second trimester,,"Spontaneous abortion; Incomplete, complicated by embolism"
904,43285004,Abortion in third trimester,,"Spontaneous abortion; Incomplete, complicated by embolism"
905,156079001,Abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
906,668321000000101,Abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
907,267297005,Abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
908,5434002,"Abortion, 1 month",,"Spontaneous abortion; Incomplete, complicated by embolism"
909,65371003,"Abortion, 2 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
910,80964008,"Abortion, 3 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
911,25047000,"Abortion, 4 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
912,78939004,"Abortion, 5 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
913,11861004,"Abortion, 6 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
914,43666007,"Abortion, 7 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
915,29768004,"Abortion, 8 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
916,14315005,"Abortion, 9 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
917,267294003,Abortion: [spontaneous] or [complete] or [incomplete],,"Spontaneous abortion; Incomplete, complicated by embolism"
918,156071003,Abortion: [spontaneous] or [complete] or [incomplete],,"Spontaneous abortion; Incomplete, complicated by embolism"
919,17369002,Miscarriage,,"Spontaneous abortion; Incomplete, complicated by embolism"
920,662491000000109,Other abnormal product of conception,,"Spontaneous abortion; Incomplete, complicated by embolism"
921,662501000000103,Other abnormal product of conception NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
922,643081000000103,Other abortive pregnancy,,"Spontaneous abortion; Incomplete, complicated by embolism"
923,599211000000104,Other specified pregnancy with abortive outcome,,"Spontaneous abortion; Incomplete, complicated by embolism"
924,599221000000105,Pregnancy with abortive outcome NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
925,156074006,Spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
926,198689000,Spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
927,669841000000106,Spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
928,620001000000102,Spontaneous abortion unspecified,,"Spontaneous abortion; Incomplete, complicated by embolism"
929,198631006,Spontaneous abortion unspecified,,"Spontaneous abortion; Incomplete, complicated by embolism"
930,198632004,Spontaneous abortion: [unspecified with genital or pelvic infection] or [with sepsis],,"Spontaneous abortion; Incomplete, complicated by embolism"
931,660231000000108,Unspecified abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
932,198769009,Unspecified abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
933,198768001,Unspecified abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
934,198780009,Unspecified abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
935,198805006,Unspecified abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
936,639931000000103,Unspecified abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
937,198778003,Unspecified abortion with complication NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
938,639911000000106,Unspecified abortion with complication NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
939,198772002,Unspecified abortion with damage to pelvic organs or tissues,,"Spontaneous abortion; Incomplete, complicated by embolism"
940,659001000000109,Unspecified abortion with damage to pelvic organs or tissues,,"Spontaneous abortion; Incomplete, complicated by embolism"
941,198771009,Unspecified abortion with delayed or excessive haemorrhage,,"Spontaneous abortion; Incomplete, complicated by embolism"
942,614961000000101,Unspecified abortion with delayed or excessive haemorrhage,,"Spontaneous abortion; Incomplete, complicated by embolism"
943,639891000000108,Unspecified abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
944,198776004,Unspecified abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
945,198770005,Unspecified abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
946,587061000000104,Unspecified abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
947,587071000000106,Unspecified abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
948,198774001,Unspecified abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
949,198779006,Unspecified abortion with no mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
950,639921000000100,Unspecified abortion with no mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
951,198777008,Unspecified abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
952,639901000000109,Unspecified abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
953,587081000000108,Unspecified abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
954,198773007,Unspecified abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
955,198775000,Unspecified abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
956,639881000000106,Unspecified abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
957,2787008,"Unspecified abortion with specified complication, NEC",,"Spontaneous abortion; Incomplete, complicated by embolism"
958,613981000000107,Unspecified legal abortion with no mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
959,198643007,Unspecified spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
960,672451000000105,Unspecified spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
961,650801000000107,Unspecified spontaneous abortion with complication NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
962,198641009,Unspecified spontaneous abortion with complication NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
963,642911000000100,Unspecified spontaneous abortion with damage to pelvic organs or tissues,,"Spontaneous abortion; Incomplete, complicated by embolism"
964,198634003,Unspecified spontaneous abortion with damage to pelvic organs or tissues,,"Spontaneous abortion; Incomplete, complicated by embolism"
965,685531000000103,Unspecified spontaneous abortion with delayed or excessive haemorrhage,,"Spontaneous abortion; Incomplete, complicated by embolism"
966,267189005,Unspecified spontaneous abortion with delayed or excessive haemorrhage,,"Spontaneous abortion; Incomplete, complicated by embolism"
967,650781000000106,Unspecified spontaneous abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
968,198638000,Unspecified spontaneous abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
969,677041000000102,Unspecified spontaneous abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
970,267188002,Unspecified spontaneous abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
971,198636001,Unspecified spontaneous abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
972,640491000000100,Unspecified spontaneous abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
973,198640005,Unspecified spontaneous abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
974,650791000000108,Unspecified spontaneous abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
975,642921000000106,Unspecified spontaneous abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
976,198635002,Unspecified spontaneous abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
977,198637005,Unspecified spontaneous abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
978,640501000000106,Unspecified spontaneous abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
979,650811000000109,Unspecified spontaneous abortion without mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
980,198642002,Unspecified spontaneous abortion without mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
981,428641000000105,[X]Other abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
982,70317007,Abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
983,26022006,Abortion in first trimester,,"Spontaneous abortion; Incomplete, complicated by embolism"
984,63748000,Abortion in second trimester,,"Spontaneous abortion; Incomplete, complicated by embolism"
985,43285004,Abortion in third trimester,,"Spontaneous abortion; Incomplete, complicated by embolism"
986,156079001,Abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
987,668321000000101,Abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
988,267297005,Abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
989,5434002,"Abortion, 1 month",,"Spontaneous abortion; Incomplete, complicated by embolism"
990,65371003,"Abortion, 2 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
991,80964008,"Abortion, 3 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
992,25047000,"Abortion, 4 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
993,78939004,"Abortion, 5 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
994,11861004,"Abortion, 6 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
995,43666007,"Abortion, 7 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
996,29768004,"Abortion, 8 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
997,14315005,"Abortion, 9 months",,"Spontaneous abortion; Incomplete, complicated by embolism"
998,267294003,Abortion: [spontaneous] or [complete] or [incomplete],,"Spontaneous abortion; Incomplete, complicated by embolism"
999,156071003,Abortion: [spontaneous] or [complete] or [incomplete],,"Spontaneous abortion; Incomplete, complicated by embolism"
1000,17369002,Miscarriage,,"Spontaneous abortion; Incomplete, complicated by embolism"
1001,662491000000109,Other abnormal product of conception,,"Spontaneous abortion; Incomplete, complicated by embolism"
1002,662501000000103,Other abnormal product of conception NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1003,643081000000103,Other abortive pregnancy,,"Spontaneous abortion; Incomplete, complicated by embolism"
1004,599211000000104,Other specified pregnancy with abortive outcome,,"Spontaneous abortion; Incomplete, complicated by embolism"
1005,599221000000105,Pregnancy with abortive outcome NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1006,156074006,Spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1007,198689000,Spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1008,669841000000106,Spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1009,620001000000102,Spontaneous abortion unspecified,,"Spontaneous abortion; Incomplete, complicated by embolism"
1010,198631006,Spontaneous abortion unspecified,,"Spontaneous abortion; Incomplete, complicated by embolism"
1011,198632004,Spontaneous abortion: [unspecified with genital or pelvic infection] or [with sepsis],,"Spontaneous abortion; Incomplete, complicated by embolism"
1012,660231000000108,Unspecified abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
1013,198769009,Unspecified abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
1014,198768001,Unspecified abortion,,"Spontaneous abortion; Incomplete, complicated by embolism"
1015,198780009,Unspecified abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1016,198805006,Unspecified abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1017,639931000000103,Unspecified abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1018,198778003,Unspecified abortion with complication NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1019,639911000000106,Unspecified abortion with complication NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1020,198772002,Unspecified abortion with damage to pelvic organs or tissues,,"Spontaneous abortion; Incomplete, complicated by embolism"
1021,659001000000109,Unspecified abortion with damage to pelvic organs or tissues,,"Spontaneous abortion; Incomplete, complicated by embolism"
1022,198771009,Unspecified abortion with delayed or excessive haemorrhage,,"Spontaneous abortion; Incomplete, complicated by embolism"
1023,614961000000101,Unspecified abortion with delayed or excessive haemorrhage,,"Spontaneous abortion; Incomplete, complicated by embolism"
1024,639891000000108,Unspecified abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
1025,198776004,Unspecified abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
1026,198770005,Unspecified abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
1027,587061000000104,Unspecified abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
1028,587071000000106,Unspecified abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
1029,198774001,Unspecified abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
1030,198779006,Unspecified abortion with no mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
1031,639921000000100,Unspecified abortion with no mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
1032,198777008,Unspecified abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
1033,639901000000109,Unspecified abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
1034,587081000000108,Unspecified abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
1035,198773007,Unspecified abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
1036,198775000,Unspecified abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
1037,639881000000106,Unspecified abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
1038,2787008,"Unspecified abortion with specified complication, NEC",,"Spontaneous abortion; Incomplete, complicated by embolism"
1039,613981000000107,Unspecified legal abortion with no mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
1040,198643007,Unspecified spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1041,672451000000105,Unspecified spontaneous abortion NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1042,650801000000107,Unspecified spontaneous abortion with complication NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1043,198641009,Unspecified spontaneous abortion with complication NOS,,"Spontaneous abortion; Incomplete, complicated by embolism"
1044,642911000000100,Unspecified spontaneous abortion with damage to pelvic organs or tissues,,"Spontaneous abortion; Incomplete, complicated by embolism"
1045,198634003,Unspecified spontaneous abortion with damage to pelvic organs or tissues,,"Spontaneous abortion; Incomplete, complicated by embolism"
1046,685531000000103,Unspecified spontaneous abortion with delayed or excessive haemorrhage,,"Spontaneous abortion; Incomplete, complicated by embolism"
1047,267189005,Unspecified spontaneous abortion with delayed or excessive haemorrhage,,"Spontaneous abortion; Incomplete, complicated by embolism"
1048,650781000000106,Unspecified spontaneous abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
1049,198638000,Unspecified spontaneous abortion with embolism,,"Spontaneous abortion; Incomplete, complicated by embolism"
1050,677041000000102,Unspecified spontaneous abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
1051,267188002,Unspecified spontaneous abortion with genital tract or pelvic infection,,"Spontaneous abortion; Incomplete, complicated by embolism"
1052,198636001,Unspecified spontaneous abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
1053,640491000000100,Unspecified spontaneous abortion with metabolic disorder,,"Spontaneous abortion; Incomplete, complicated by embolism"
1054,198640005,Unspecified spontaneous abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
1055,650791000000108,Unspecified spontaneous abortion with other specified complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
1056,642921000000106,Unspecified spontaneous abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
1057,198635002,Unspecified spontaneous abortion with renal failure,,"Spontaneous abortion; Incomplete, complicated by embolism"
1058,198637005,Unspecified spontaneous abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
1059,640501000000106,Unspecified spontaneous abortion with shock,,"Spontaneous abortion; Incomplete, complicated by embolism"
1060,650811000000109,Unspecified spontaneous abortion without mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
1061,198642002,Unspecified spontaneous abortion without mention of complication,,"Spontaneous abortion; Incomplete, complicated by embolism"
1062,128477000,Abscess,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1063,627081000000106,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1064,196068004,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1065,128477000,Abscess,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1066,627081000000106,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1067,196068004,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1068,128477000,Abscess,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1069,627081000000106,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1070,196068004,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1071,128477000,Abscess,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1072,627081000000106,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1073,196068004,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1074,128477000,Abscess,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1075,627081000000106,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1076,196068004,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1077,128477000,Abscess,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1078,627081000000106,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1079,196068004,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1080,128477000,Abscess,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1081,627081000000106,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1082,196068004,Thorax abscess NOS,Cellulitis,"Cutaneous abscess, furuncle and carbuncle of neck"
1083,314551004,Corneal graft disorder,,"Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified"
1084,301813003,Irritable hip,,Transient synovitis
1085,267900007,Transient arthropathy of hip,,Transient synovitis
1086,301864002,Transient synovitis of hip,,Transient synovitis
1087,6456007,Supraventricular tachycardia,Atrial fibrillation and flutter ,Supraventricular tachycardia
1088,266305002,Supraventricular tachycardia (& [paroxysmal] or [paroxysmal artrial]),Atrial fibrillation and flutter ,Supraventricular tachycardia
1089,155363003,Supraventricular tachycardia (& [paroxysmal] or [paroxysmal artrial]),Atrial fibrillation and flutter ,Supraventricular tachycardia
1090,603801000000107,Supraventricular tachycardia NOS,Atrial fibrillation and flutter ,Supraventricular tachycardia
1091,195104006,Supraventricular tachycardia NOS,Atrial fibrillation and flutter ,Supraventricular tachycardia
1092,129848002,Fluid volume alteration,,Volume depletion
1093,1860003,Fluid volume disorder,,Volume depletion
1094,129848002,Fluid volume alteration,,Volume depletion
1095,1860003,Fluid volume disorder,,Volume depletion
1096,129848002,Fluid volume alteration,,Volume depletion
1097,1860003,Fluid volume disorder,,Volume depletion
1098,442341000000102,[X]Pneumonia in other diseases classified elsewhere,,"Other pneumonia, organism unspecified"
1099,60363000,Pneumonia,,"Other pneumonia, organism unspecified"
1100,233604007,Pneumonia,,"Other pneumonia, organism unspecified"
1101,155548002,Pneumonia and influenza &/or pneumonia,,"Other pneumonia, organism unspecified"
1102,266391003,Pneumonia and influenza &/or pneumonia,,"Other pneumonia, organism unspecified"
1103,155552002,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1104,274103002,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1105,155558003,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1106,677801000000109,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1107,442341000000102,[X]Pneumonia in other diseases classified elsewhere,,"Other pneumonia, organism unspecified"
1108,60363000,Pneumonia,,"Other pneumonia, organism unspecified"
1109,233604007,Pneumonia,,"Other pneumonia, organism unspecified"
1110,155548002,Pneumonia and influenza &/or pneumonia,,"Other pneumonia, organism unspecified"
1111,266391003,Pneumonia and influenza &/or pneumonia,,"Other pneumonia, organism unspecified"
1112,155552002,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1113,274103002,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1114,155558003,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1115,677801000000109,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1116,442341000000102,[X]Pneumonia in other diseases classified elsewhere,,"Other pneumonia, organism unspecified"
1117,60363000,Pneumonia,,"Other pneumonia, organism unspecified"
1118,233604007,Pneumonia,,"Other pneumonia, organism unspecified"
1119,155548002,Pneumonia and influenza &/or pneumonia,,"Other pneumonia, organism unspecified"
1120,266391003,Pneumonia and influenza &/or pneumonia,,"Other pneumonia, organism unspecified"
1121,155552002,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1122,274103002,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1123,155558003,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1124,677801000000109,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1125,442341000000102,[X]Pneumonia in other diseases classified elsewhere,,"Other pneumonia, organism unspecified"
1126,60363000,Pneumonia,,"Other pneumonia, organism unspecified"
1127,233604007,Pneumonia,,"Other pneumonia, organism unspecified"
1128,155548002,Pneumonia and influenza &/or pneumonia,,"Other pneumonia, organism unspecified"
1129,266391003,Pneumonia and influenza &/or pneumonia,,"Other pneumonia, organism unspecified"
1130,155552002,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1131,274103002,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1132,155558003,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1133,677801000000109,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1134,442341000000102,[X]Pneumonia in other diseases classified elsewhere,,"Other pneumonia, organism unspecified"
1135,60363000,Pneumonia,,"Other pneumonia, organism unspecified"
1136,233604007,Pneumonia,,"Other pneumonia, organism unspecified"
1137,155548002,Pneumonia and influenza &/or pneumonia,,"Other pneumonia, organism unspecified"
1138,266391003,Pneumonia and influenza &/or pneumonia,,"Other pneumonia, organism unspecified"
1139,155552002,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1140,274103002,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1141,155558003,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1142,677801000000109,Pneumonia NOS,,"Other pneumonia, organism unspecified"
1143,195041009,(Prolonged P-R interval) or (first degree AV block),,"Atrioventricular block, first degree"
1144,14256006,First degree atrioventricular block,,"Atrioventricular block, first degree"
1145,270492004,First degree atrioventricular block,,"Atrioventricular block, first degree"
1146,197219000,(Haemorrhage of rectum and anus) or (PR - bleeding per rectum),,Haemorrhage of anus and rectum
1147,266532006,Anal &/or rectal haemorrhage,,Haemorrhage of anus and rectum
1148,155804001,Anal &/or rectal haemorrhage,,Haemorrhage of anus and rectum
1149,12063002,Rectal haemorrhage,,Haemorrhage of anus and rectum
1150,197219000,(Haemorrhage of rectum and anus) or (PR - bleeding per rectum),,Haemorrhage of anus and rectum
1151,266532006,Anal &/or rectal haemorrhage,,Haemorrhage of anus and rectum
1152,155804001,Anal &/or rectal haemorrhage,,Haemorrhage of anus and rectum
1153,12063002,Rectal haemorrhage,,Haemorrhage of anus and rectum
1154,197219000,(Haemorrhage of rectum and anus) or (PR - bleeding per rectum),,Haemorrhage of anus and rectum
1155,266532006,Anal &/or rectal haemorrhage,,Haemorrhage of anus and rectum
