"","snomed_code","snomed_description","icd10_code","icd10_description"
"358","458241000000109","[X]Poisoning by and exposure to alcohol, undetermined intent","T65.9","Toxic effect of unspecified substance"
"359","474361000000105","[X]Poisoning by and exposure to antiepileptics, undetermined intent","T65.9","Toxic effect of unspecified substance"
"360","460341000000108","[X]Poisoning by and exposure to antiparkinson drugs, undetermined intent","T65.9","Toxic effect of unspecified substance"
"361","391971000000103","[X]Poisoning by and exposure to hallucinogens, undetermined intent","T65.9","Toxic effect of unspecified substance"
"362","475771000000101","[X]Poisoning by and exposure to nonopioid analgesics, occurrence at home, undetermined intent","T65.9","Toxic effect of unspecified substance"
"363","447471000000100","[X]Poisoning by and exposure to nonopioid analgesics, occurrence at industrial and construction area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"364","385871000000109","[X]Poisoning by and exposure to nonopioid analgesics, occurrence at other specified place, undetermined intent","T65.9","Toxic effect of unspecified substance"
"365","433441000000104","[X]Poisoning by and exposure to nonopioid analgesics, occurrence at school, other institution and public administrative area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"366","420701000000102","[X]Poisoning by and exposure to nonopioid analgesics, occurrence at sports and athletics area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"367","422421000000103","[X]Poisoning by and exposure to nonopioid analgesics, occurrence at trade and service area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"368","473711000000105","[X]Poisoning by and exposure to nonopioid analgesics, occurrence at unspecified place, undetermined intent","T65.9","Toxic effect of unspecified substance"
"369","436021000000107","[X]Poisoning by and exposure to nonopioid analgesics, occurrence in residential institution, undetermined intent","T65.9","Toxic effect of unspecified substance"
"370","422761000000104","[X]Poisoning by and exposure to nonopioid analgesics, occurrence on farm, undetermined intent","T65.9","Toxic effect of unspecified substance"
"371","393701000000105","[X]Poisoning by and exposure to nonopioid analgesics, occurrence on street and highway, undetermined intent","T65.9","Toxic effect of unspecified substance"
"372","387341000000104","[X]Poisoning by and exposure to nonopioid analgesics, undetermined intent","T65.9","Toxic effect of unspecified substance"
"373","447791000000106","[X]Poisoning by and exposure to noxious substances, undetermined intent","T65.9","Toxic effect of unspecified substance"
"374","459861000000103","[X]Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent","T65.9","Toxic effect of unspecified substance"
"375","446341000000103","[X]Poisoning by and exposure to other and unspecified chemicals and noxious substances, occurrence at home, undetermined intent","T65.9","Toxic effect of unspecified substance"
"376","458661000000107","[X]Poisoning by and exposure to other and unspecified chemicals and noxious substances, occurrence at industrial and construction area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"377","473991000000103","[X]Poisoning by and exposure to other and unspecified chemicals and noxious substances, occurrence at other specified place, undetermined intent","T65.9","Toxic effect of unspecified substance"
"378","434221000000107","[X]Poisoning by and exposure to other and unspecified chemicals and noxious substances, occurrence at school, other institution and public administrative area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"379","422311000000100","[X]Poisoning by and exposure to other and unspecified chemicals and noxious substances, occurrence at sports and athletics area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"380","385881000000106","[X]Poisoning by and exposure to other and unspecified chemicals and noxious substances, occurrence in residential institution, undetermined intent","T65.9","Toxic effect of unspecified substance"
"381","458731000000107","[X]Poisoning by and exposure to other and unspecified chemicals and noxious substances, occurrence on farm, undetermined intent","T65.9","Toxic effect of unspecified substance"
"382","405281000000102","[X]Poisoning by and exposure to other and unspecified chemicals and noxious substances, occurrence on street and highway, undetermined intent","T65.9","Toxic effect of unspecified substance"
"383","448351000000101","[X]Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent","T65.9","Toxic effect of unspecified substance"
"384","394491000000105","[X]Poisoning by and exposure to other and unspecified drug, medicament and biological substance, occurrence at industrial and construction area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"385","422431000000101","[X]Poisoning by and exposure to other and unspecified drug, medicament and biological substance, occurrence at other specified place, undetermined intent","T65.9","Toxic effect of unspecified substance"
"386","459921000000101","[X]Poisoning by and exposure to other and unspecified drug, medicament and biological substance, occurrence at school, other institution and public administrative area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"387","394121000000102","[X]Poisoning by and exposure to other and unspecified drug, medicament and biological substance, occurrence at sports and athletics area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"388","436031000000109","[X]Poisoning by and exposure to other and unspecified drug, medicament and biological substance, occurrence at trade and service area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"389","459481000000109","[X]Poisoning by and exposure to other and unspecified drug, medicament and biological substance, occurrence at unspecified place, undetermined intent","T65.9","Toxic effect of unspecified substance"
"390","435751000000108","[X]Poisoning by and exposure to other and unspecified drug, medicament and biological substance, occurrence in residential institution, undetermined intent","T65.9","Toxic effect of unspecified substance"
"391","403881000000104","[X]Poisoning by and exposure to other and unspecified drug, medicament and biological substance, occurrence on farm, undetermined intent","T65.9","Toxic effect of unspecified substance"
"392","406281000000108","[X]Poisoning by and exposure to other and unspecified drug, medicament and biological substance, occurrence on street and highway, undetermined intent","T65.9","Toxic effect of unspecified substance"
"393","386111000000100","[X]Poisoning by and exposure to other and unspecified drug, medicament and biological substance, undetermined intent","T65.9","Toxic effect of unspecified substance"
"394","459931000000104","[X]Poisoning by and exposure to other gas and vapours, undetermined intent","T65.9","Toxic effect of unspecified substance"
"395","421131000000101","[X]Poisoning by and exposure to pesticides, occurrence at industrial and construction area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"396","393541000000104","[X]Poisoning by and exposure to pesticides, occurrence at school, other institution and public administrative area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"397","474741000000108","[X]Poisoning by and exposure to pesticides, occurrence at sports and athletics area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"398","433871000000108","[X]Poisoning by and exposure to pesticides, occurrence at trade and service area, undetermined intent","T65.9","Toxic effect of unspecified substance"
"399","448341000000104","[X]Poisoning by and exposure to pesticides, occurrence at unspecified place, undetermined intent","T65.9","Toxic effect of unspecified substance"
"400","458271000000103","[X]Poisoning by and exposure to pesticides, occurrence in residential institution, undetermined intent","T65.9","Toxic effect of unspecified substance"
"401","406451000000103","[X]Poisoning by and exposure to pesticides, occurrence on farm, undetermined intent","T65.9","Toxic effect of unspecified substance"
"402","446381000000106","[X]Poisoning by and exposure to sedative hypnotics, undetermined intent","T65.9","Toxic effect of unspecified substance"
"403","441751000000107","[X]Toxic effect of contact with other marine animals","T65.9","Toxic effect of unspecified substance"
"404","465161000000103","[X]Toxic effect of inorganic substance, unspecified","T65.9","Toxic effect of unspecified substance"
"405","241745003","Accidents, poisoning and injury","T65.9","Toxic effect of unspecified substance"
"406","212562001","Acidifying agent poisoning","T65.9","Toxic effect of unspecified substance"
"407","212563006","Alkalising agent poisoning","T65.9","Toxic effect of unspecified substance"
"408","212784004","Dietetic poisoning NOS","T65.9","Toxic effect of unspecified substance"
"409","705391000000101","Dietetic poisoning NOS","T65.9","Toxic effect of unspecified substance"
"410","212805005","Drug, medicament or biological substance poisoning NOS","T65.9","Toxic effect of unspecified substance"
"411","604761000000100","Drug, medicament or biological substance poisoning NOS","T65.9","Toxic effect of unspecified substance"
"412","207676007","Injury and poisoning","T65.9","Toxic effect of unspecified substance"
"413","666751000000106","Injury and poisoning NOS","T65.9","Toxic effect of unspecified substance"
"414","213768007","Injury and poisoning NOS","T65.9","Toxic effect of unspecified substance"
"415","157800006","Injury and poisoning NOS","T65.9","Toxic effect of unspecified substance"
"416","219300009","Injury undetermined whether accidentally or purposely inflicted, poisoning by solid or liquid substances","T65.9","Toxic effect of unspecified substance"
"417","212574002","Iron and iron compound poisoning NOS","T65.9","Toxic effect of unspecified substance"
"418","212901002","Non-medicinal agent causing toxic effect NOS","T65.9","Toxic effect of unspecified substance"
"419","705061000000109","Non-medicinal agent causing toxic effect NOS","T65.9","Toxic effect of unspecified substance"
"420","705121000000102","Other ferrous salt poisoning","T65.9","Toxic effect of unspecified substance"
"421","212573008","Other ferrous salt poisoning","T65.9","Toxic effect of unspecified substance"
"422","705131000000100","Other mineral salt poisoning NEC","T65.9","Toxic effect of unspecified substance"
"423","705031000000104","Other non-medicinal substances causing toxic effect","T65.9","Toxic effect of unspecified substance"
"424","212873004","Other non-medicinal substances causing toxic effect","T65.9","Toxic effect of unspecified substance"
"425","212823002","Other solvents causing toxic effect","T65.9","Toxic effect of unspecified substance"
"426","212828006","Other solvents causing toxic effect","T65.9","Toxic effect of unspecified substance"
"427","592621000000100","Other solvents causing toxic effect NOS","T65.9","Toxic effect of unspecified substance"
"428","212830008","Other solvents causing toxic effect NOS","T65.9","Toxic effect of unspecified substance"
"429","674341000000107","Other substance causing toxic effect","T65.9","Toxic effect of unspecified substance"
"430","212896004","Other substance causing toxic effect","T65.9","Toxic effect of unspecified substance"
"431","157676001","Poison &/ or toxic effect &/or other injury","T65.9","Toxic effect of unspecified substance"
"432","269408000","Poison &/ or toxic effect &/or other injury","T65.9","Toxic effect of unspecified substance"
"433","269262003","Poisoning","T65.9","Toxic effect of unspecified substance"
"434","59076008","Poisoning by acidifying agent","T65.9","Toxic effect of unspecified substance"
"435","41221003","Poisoning by alkalinising agent","T65.9","Toxic effect of unspecified substance"
"436","291251006","Poisoning by lysergic acid of undetermined intent","T65.9","Toxic effect of unspecified substance"
"437","217680006","Poisoning due to other venomous arthropods","T65.9","Toxic effect of unspecified substance"
"438","703301000000107","Poisoning due to other venomous arthropods","T65.9","Toxic effect of unspecified substance"
"439","217695008","Poisoning due to venomous animals and plants NOS","T65.9","Toxic effect of unspecified substance"
"440","685861000000106","Poisoning due to venomous animals and plants NOS","T65.9","Toxic effect of unspecified substance"
"441","217683008","Poisoning due to venomous arthropod NOS","T65.9","Toxic effect of unspecified substance"
"442","157933000","Poisoning due to venomous snake or lizard NOS","T65.9","Toxic effect of unspecified substance"
"443","705381000000103","Poisoning due to venomous snake or lizard NOS","T65.9","Toxic effect of unspecified substance"
"444","217664001","Poisoning due to venomous snake or lizard NOS","T65.9","Toxic effect of unspecified substance"
"445","269736006","Poisoning of undetermined intent","T65.9","Toxic effect of unspecified substance"
"446","212831007","Solvents causing toxic effect NOS","T65.9","Toxic effect of unspecified substance"
"447","705111000000108","Solvents causing toxic effect NOS","T65.9","Toxic effect of unspecified substance"
"448","705191000000104","Substance NOS - toxic effect","T65.9","Toxic effect of unspecified substance"
"449","157714001","Substance NOS - toxic effect","T65.9","Toxic effect of unspecified substance"
"450","269420008","Substance NOS - toxic effect","T65.9","Toxic effect of unspecified substance"
"451","60481001","Toxic effect","T65.9","Toxic effect of unspecified substance"
"452","157707003","Toxic effects - substances NOS","T65.9","Toxic effect of unspecified substance"
"453","674351000000105","Unspecified substance causing toxic effect NOS","T65.9","Toxic effect of unspecified substance"
"454","212897008","Unspecified substance causing toxic effect NOS","T65.9","Toxic effect of unspecified substance"
"455","705261000000103","Uric acid drug poisoning NOS","T65.9","Toxic effect of unspecified substance"
"456","705681000000105","Water, mineral or uric acid metabolism poisoning NOS","T65.9","Toxic effect of unspecified substance"
"457","157295000","Knee sprain NOS","T65.9","Toxic effect of unspecified substance"
"467","154268000","(Specific GIT infectious disease) or (dysentery) or (bacterial: [gastroenteritis] or [diarrhoea])","A09.0","Diarrhoea and gastroenteritis of presumed infectious origin"
"468","266173000","(Specific GIT infectious disease) or (dysentery) or (bacterial: [gastroenteritis] or [diarrhoea])","A09.0","Diarrhoea and gastroenteritis of presumed infectious origin"
"469","46799006","Dysenteric diarrhoea","A09.0","Diarrhoea and gastroenteritis of presumed infectious origin"
"470","111939009","Dysentery","A09.0","Diarrhoea and gastroenteritis of presumed infectious origin"
"471","14255005","Haemorrhagic dysentery","A09.0","Diarrhoea and gastroenteritis of presumed infectious origin"
"472","1382631000000101","Poisoning caused by household product","T65.9","Toxic effect: Toxic effect of unspecified substance"
"473","464981000000108","[X]Toxic effect of other alcohols","T51.8","Toxic effect: Other alcohols"
"474","157683008","Alcohol causing toxic effect","T51.8","Toxic effect: Other alcohols"
"475","212820004","Alcohol causing toxic effect NOS","T51.8","Toxic effect: Other alcohols"
"476","157686000","Alcohol causing toxic effect NOS","T51.8","Toxic effect: Other alcohols"
"477","592581000000100","Alcohol causing toxic effect NOS","T51.8","Toxic effect: Other alcohols"
"478","212819005","Other alcohol causing toxic effect","T51.8","Toxic effect: Other alcohols"
"479","592571000000102","Other alcohol causing toxic effect","T51.8","Toxic effect: Other alcohols"
"480","67426006","Toxic effect of alcohol","T51.8","Toxic effect: Other alcohols"
"481","10483001","Toxic effect of other alcohol, NEC","T51.8","Toxic effect: Other alcohols"
"482","39355002","Hypernatraemia","E87.0","Hyperosmolality and hypernatraemia"
"483","771115008","Hypernatraemia","E87.0","Hyperosmolality and hypernatraemia"
"484","190879002","Hyperosmolality &/or hypernatraemia","E87.0","Hyperosmolality and hypernatraemia"
"485","154755007","Sodium overload","E87.0","Hyperosmolality and hypernatraemia"
"486","286926003","Sodium overload","E87.0","Hyperosmolality and hypernatraemia"
"490","197335009","(Hepatic failure (& [NOS]) or (other sequelae of chronic liver disease)","K72.9","Hepatic failure, unspecified"
"491","713652000","Decompensated liver disease","K72.9","Hepatic failure, unspecified"
"492","197334008","Hepatic failure","K72.9","Hepatic failure, unspecified"
"493","59927004","Hepatic failure","K72.9","Hepatic failure, unspecified"
"494","662331000000101","Hepatic failure NOS","K72.9","Hepatic failure, unspecified"
"495","235883002","Hepatic failure NOS","K72.9","Hepatic failure, unspecified"
"496","662321000000103","Liver failure NOS","K72.9","Hepatic failure, unspecified"
"497","235882007","Liver failure NOS","K72.9","Hepatic failure, unspecified"
"498","154671004","Diabetes mellitus (& [ketoacidosis])","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"499","267467004","Diabetes mellitus (& [ketoacidosis])","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"500","593661000000102","Diabetes mellitus NOS with ketoacidosis","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"501","190328004","Diabetes mellitus NOS with ketoacidosis","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"502","551831000000104","Diabetes mellitus NOS with ketoacidotic coma","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"503","190337004","Diabetes mellitus NOS with ketoacidotic coma","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"504","24927004","Diabetes with ketoacidosis","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"505","420422005","Diabetic ketoacidosis","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"506","630491000000104","Other specified diabetes mellitus with ketoacidosis","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"507","190327009","Other specified diabetes mellitus with ketoacidosis","E10.1","Type 1 diabetes mellitus with ketoacidosis"
"508","726523002","Cold injury","T69.9","Effect of reduced temperature, unspecified"
"509","157716004","Effects of low temperature","T69.9","Effect of reduced temperature, unspecified"
"510","11925005","Effects of reduced temperature","T69.9","Effect of reduced temperature, unspecified"
"511","212935004","Other reduced temperature effects","T69.9","Effect of reduced temperature, unspecified"
"512","671871000000107","Other reduced temperature effects","T69.9","Effect of reduced temperature, unspecified"
"513","212936003","Reduced temperature effect NOS","T69.9","Effect of reduced temperature, unspecified"
"514","671881000000109","Reduced temperature effect NOS","T69.9","Effect of reduced temperature, unspecified"
"515","157721001","Reduced temperature effect NOS","T69.9","Effect of reduced temperature, unspecified"
"557","26918003","Ascending cholangitis","K83.0","Cholangitis"
"562","429631000000106","[X]Crystal arthropathy in other metabolic disorders classified elsewhere","M11.9","Crystal arthropathy, unspecified"
"563","471941000000107","[X]Other specified crystal arthropathies","M11.9","Crystal arthropathy, unspecified"
"564","18834007","Crystal arthropathy","M11.9","Crystal arthropathy, unspecified"
"565","201721000","Crystal arthropathy NOS","M11.9","Crystal arthropathy, unspecified"
"566","201687008","Crystal arthropathy NOS","M11.9","Crystal arthropathy, unspecified"
"567","568301000000101","Crystal arthropathy NOS","M11.9","Crystal arthropathy, unspecified"
"568","604671000000103","Crystal arthropathy NOS, of 1st metatarsophalangeal joint","M11.9","Crystal arthropathy, unspecified"
"569","201716003","Crystal arthropathy NOS, of 1st metatarsophalangeal joint","M11.9","Crystal arthropathy, unspecified"
"570","201699001","Crystal arthropathy NOS, of acromioclavicular joint","M11.9","Crystal arthropathy, unspecified"
"571","568391000000108","Crystal arthropathy NOS, of acromioclavicular joint","M11.9","Crystal arthropathy, unspecified"
"572","201711008","Crystal arthropathy NOS, of ankle","M11.9","Crystal arthropathy, unspecified"
"573","604661000000105","Crystal arthropathy NOS, of ankle","M11.9","Crystal arthropathy, unspecified"
"574","604621000000102","Crystal arthropathy NOS, of distal interphalangeal joint of finger","M11.9","Crystal arthropathy, unspecified"
"575","201705005","Crystal arthropathy NOS, of distal interphalangeal joint of finger","M11.9","Crystal arthropathy, unspecified"
"576","201701001","Crystal arthropathy NOS, of distal radioulnar joint","M11.9","Crystal arthropathy, unspecified"
"577","661281000000101","Crystal arthropathy NOS, of distal radioulnar joint","M11.9","Crystal arthropathy, unspecified"
"578","201700000","Crystal arthropathy NOS, of elbow","M11.9","Crystal arthropathy, unspecified"
"579","661271000000103","Crystal arthropathy NOS, of elbow","M11.9","Crystal arthropathy, unspecified"
"580","659531000000109","Crystal arthropathy NOS, of hip","M11.9","Crystal arthropathy, unspecified"
"581","201707002","Crystal arthropathy NOS, of hip","M11.9","Crystal arthropathy, unspecified"
"582","604691000000104","Crystal arthropathy NOS, of interphalangeal joint of toe","M11.9","Crystal arthropathy, unspecified"
"583","201718002","Crystal arthropathy NOS, of interphalangeal joint of toe","M11.9","Crystal arthropathy, unspecified"
"584","604641000000109","Crystal arthropathy NOS, of knee","M11.9","Crystal arthropathy, unspecified"
"585","201709004","Crystal arthropathy NOS, of knee","M11.9","Crystal arthropathy, unspecified"
"586","604681000000101","Crystal arthropathy NOS, of lesser metatarsophalangeal joint","M11.9","Crystal arthropathy, unspecified"
"587","201717007","Crystal arthropathy NOS, of lesser metatarsophalangeal joint","M11.9","Crystal arthropathy, unspecified"
"588","201703003","Crystal arthropathy NOS, of metacarpophalangeal joint","M11.9","Crystal arthropathy, unspecified"
"589","619401000000105","Crystal arthropathy NOS, of metacarpophalangeal joint","M11.9","Crystal arthropathy, unspecified"
"590","201719005","Crystal arthropathy NOS, of multiple sites","M11.9","Crystal arthropathy, unspecified"
"591","566871000000104","Crystal arthropathy NOS, of multiple sites","M11.9","Crystal arthropathy, unspecified"
"592","566881000000102","Crystal arthropathy NOS, of other specified site","M11.9","Crystal arthropathy, unspecified"
"593","201720004","Crystal arthropathy NOS, of other specified site","M11.9","Crystal arthropathy, unspecified"
"594","625901000000105","Crystal arthropathy NOS, of other tarsal joint","M11.9","Crystal arthropathy, unspecified"
"595","201715004","Crystal arthropathy NOS, of other tarsal joint","M11.9","Crystal arthropathy, unspecified"
"596","604611000000108","Crystal arthropathy NOS, of proximal interphalangeal joint of finger","M11.9","Crystal arthropathy, unspecified"
"597","201704009","Crystal arthropathy NOS, of proximal interphalangeal joint of finger","M11.9","Crystal arthropathy, unspecified"
"598","659561000000104","Crystal arthropathy NOS, of sacroiliac joint","M11.9","Crystal arthropathy, unspecified"
"599","201708007","Crystal arthropathy NOS, of sacroiliac joint","M11.9","Crystal arthropathy, unspecified"
"600","568371000000109","Crystal arthropathy NOS, of shoulder","M11.9","Crystal arthropathy, unspecified"
"601","201696008","Crystal arthropathy NOS, of shoulder","M11.9","Crystal arthropathy, unspecified"
"602","568381000000106","Crystal arthropathy NOS, of sternoclavicular joint","M11.9","Crystal arthropathy, unspecified"
"603","201697004","Crystal arthropathy NOS, of sternoclavicular joint","M11.9","Crystal arthropathy, unspecified"
"604","659581000000108","Crystal arthropathy NOS, of subtalar joint","M11.9","Crystal arthropathy, unspecified"
"605","201713006","Crystal arthropathy NOS, of subtalar joint","M11.9","Crystal arthropathy, unspecified"
"606","625891000000109","Crystal arthropathy NOS, of talonavicular joint","M11.9","Crystal arthropathy, unspecified"
"607","201714000","Crystal arthropathy NOS, of talonavicular joint","M11.9","Crystal arthropathy, unspecified"
"608","568361000000102","Crystal arthropathy NOS, of the ankle and foot","M11.9","Crystal arthropathy, unspecified"
"609","201695007","Crystal arthropathy NOS, of the ankle and foot","M11.9","Crystal arthropathy, unspecified"
"610","661211000000108","Crystal arthropathy NOS, of the forearm","M11.9","Crystal arthropathy, unspecified"
"611","201691003","Crystal arthropathy NOS, of the forearm","M11.9","Crystal arthropathy, unspecified"
"612","568331000000107","Crystal arthropathy NOS, of the hand","M11.9","Crystal arthropathy, unspecified"
"613","201692005","Crystal arthropathy NOS, of the hand","M11.9","Crystal arthropathy, unspecified"
"614","568351000000100","Crystal arthropathy NOS, of the lower leg","M11.9","Crystal arthropathy, unspecified"
"615","201694006","Crystal arthropathy NOS, of the lower leg","M11.9","Crystal arthropathy, unspecified"
"616","568341000000103","Crystal arthropathy NOS, of the pelvic region and thigh","M11.9","Crystal arthropathy, unspecified"
"617","201693000","Crystal arthropathy NOS, of the pelvic region and thigh","M11.9","Crystal arthropathy, unspecified"
"618","201689006","Crystal arthropathy NOS, of the shoulder region","M11.9","Crystal arthropathy, unspecified"
"619","568321000000105","Crystal arthropathy NOS, of the shoulder region","M11.9","Crystal arthropathy, unspecified"
"620","201690002","Crystal arthropathy NOS, of the upper arm","M11.9","Crystal arthropathy, unspecified"
"621","632041000000102","Crystal arthropathy NOS, of the upper arm","M11.9","Crystal arthropathy, unspecified"
"622","604651000000107","Crystal arthropathy NOS, of tibiofibular joint","M11.9","Crystal arthropathy, unspecified"
"623","201710009","Crystal arthropathy NOS, of tibiofibular joint","M11.9","Crystal arthropathy, unspecified"
"624","568401000000106","Crystal arthropathy NOS, of wrist","M11.9","Crystal arthropathy, unspecified"
"625","201702008","Crystal arthropathy NOS, of wrist","M11.9","Crystal arthropathy, unspecified"
"626","201688003","Crystal arthropathy NOS, site unspecified","M11.9","Crystal arthropathy, unspecified"
"627","568311000000104","Crystal arthropathy NOS, site unspecified","M11.9","Crystal arthropathy, unspecified"
"628","111216007","Crystal arthropathy of other site","M11.9","Crystal arthropathy, unspecified"
"629","672261000000109","Other crystal arthropathies","M11.9","Crystal arthropathy, unspecified"
"630","201674002","Other crystal arthropathies","M11.9","Crystal arthropathy, unspecified"
"631","689631000000100","Other crystal arthropathies of multiple sites","M11.9","Crystal arthropathy, unspecified"
"632","201684001","Other crystal arthropathies of multiple sites","M11.9","Crystal arthropathy, unspecified"
"633","201685000","Other crystal arthropathies of other specified sites","M11.9","Crystal arthropathy, unspecified"
"634","689641000000109","Other crystal arthropathies of other specified sites","M11.9","Crystal arthropathy, unspecified"
"635","201682002","Other crystal arthropathies of the ankle and foot","M11.9","Crystal arthropathy, unspecified"
"636","672311000000102","Other crystal arthropathies of the ankle and foot","M11.9","Crystal arthropathy, unspecified"
"637","672291000000103","Other crystal arthropathies of the forearm","M11.9","Crystal arthropathy, unspecified"
"638","201678004","Other crystal arthropathies of the forearm","M11.9","Crystal arthropathy, unspecified"
"639","672301000000104","Other crystal arthropathies of the hand","M11.9","Crystal arthropathy, unspecified"
"640","201679007","Other crystal arthropathies of the hand","M11.9","Crystal arthropathy, unspecified"
"641","689591000000100","Other crystal arthropathies of the lower leg","M11.9","Crystal arthropathy, unspecified"
"642","201681009","Other crystal arthropathies of the lower leg","M11.9","Crystal arthropathy, unspecified"
"643","201680005","Other crystal arthropathies of the pelvic region and thigh","M11.9","Crystal arthropathy, unspecified"
"644","672271000000102","Other crystal arthropathies of the pelvic region and thigh","M11.9","Crystal arthropathy, unspecified"
"645","689571000000104","Other crystal arthropathies of the shoulder","M11.9","Crystal arthropathy, unspecified"
"646","201676000","Other crystal arthropathies of the shoulder","M11.9","Crystal arthropathy, unspecified"
"647","689581000000102","Other crystal arthropathies of the upper arm","M11.9","Crystal arthropathy, unspecified"
"648","201677009","Other crystal arthropathies of the upper arm","M11.9","Crystal arthropathy, unspecified"
"649","689561000000106","Other crystal arthropathies of unspecified site","M11.9","Crystal arthropathy, unspecified"
"650","201675001","Other crystal arthropathies of unspecified site","M11.9","Crystal arthropathy, unspecified"
"651","201686004","Other crystal arthropathy NOS","M11.9","Crystal arthropathy, unspecified"
"652","689651000000107","Other crystal arthropathy NOS","M11.9","Crystal arthropathy, unspecified"
"653","47639008","Pilonidal cyst","L05.0","Pilonidal cyst"
"654","85224001","Pilonidal cyst with abscess","L05.0","Pilonidal cyst"
"655","200712009","Pilonidal cyst with abscess","L05.0","Pilonidal cyst"
"656","267785005","Pilonidal cyst with no abscess","L05.9","Pilonidal cyst"
"657","76545008","Pilonidal cyst without abscess","L05.9","Pilonidal cyst"
"658","389471000000108","[X]Other cholecystitis","K81.9","Cholecystitis, unspecified"
"659","389471000000108","[X]Other cholecystitis","K81.9","Cholecystitis, unspecified"
"660","76581006","Cholecystitis","K81.9","Cholecystitis, unspecified"
"661","76581006","Cholecystitis","K81.9","Cholecystitis, unspecified"
"662","598011000000104","Cholecystitis NOS","K81.9","Cholecystitis, unspecified"
"663","598011000000104","Cholecystitis NOS","K81.9","Cholecystitis, unspecified"
"664","197414008","Cholecystitis NOS","K81.9","Cholecystitis, unspecified"
"665","197414008","Cholecystitis NOS","K81.9","Cholecystitis, unspecified"
"666","197412007","Other cholecystitis","K81.9","Cholecystitis, unspecified"
"667","197412007","Other cholecystitis","K81.9","Cholecystitis, unspecified"
"668","598001000000101","Other cholecystitis","K81.9","Cholecystitis, unspecified"
"669","598001000000101","Other cholecystitis","K81.9","Cholecystitis, unspecified"
"670","197413002","Other cholecystitis OS","K81.9","Cholecystitis, unspecified"
"671","197413002","Other cholecystitis OS","K81.9","Cholecystitis, unspecified"
"672","607061000000106","Other cholecystitis OS","K81.9","Cholecystitis, unspecified"
"673","607061000000106","Other cholecystitis OS","K81.9","Cholecystitis, unspecified"
"674","156305000","(Cellulitis - finger-paronychia) or (paronychia)","L03.3","Cellulitis of finger and toe"
"675","267830000","(Cellulitis - finger-paronychia) or (paronychia)","L03.2","Cellulitis of finger and toe"
"676","200643006","Digit: [paronychia] or [infected nailfold] or [cellulitis and abscess of NOS] or [nail infection NOS]","L03.1","Cellulitis of finger and toe"
"677","71906005","Paronychia","L03.0","Cellulitis of finger and toe"
"678","12021001","Pyonychia","L03.1","Cellulitis of finger and toe"
"682","155570004","Acute exacerbation of chronic obstructive airways disease","J44.1","Acute exacerbation of COPD"
"683","155571000","Acute exacerbation of chronic obstructive airways disease","J44.1","Acute exacerbation of COPD"
"684","195951007","Acute exacerbation of chronic obstructive airways disease","J44.1","Acute exacerbation of COPD"
"685","196002001","Chronic obstructive pulmonary disease with acute exacerbation, unspecified","J44.1","Acute exacerbation of COPD"
"686","644271000000105","Chronic obstructive pulmonary disease with acute exacerbation, unspecified","J44.1","Acute exacerbation of COPD"
"687","233671000","Chronic obstructive pulmonary disease with acute exacerbation, unspecified","J44.1","Acute exacerbation of COPD"
"688","195983001","(Asthma: [exercise induced] or [allergic NEC] or [NOS]) or (allergic bronchitis NEC)","J45.9","Asthma, unspecified"
"689","266358007","Allergic atopic asthma","J45.9","Asthma, unspecified"
"690","233684009","Allergic non-atopic asthma","J45.9","Asthma, unspecified"
"691","21341004","Asthma","J45.9","Asthma, unspecified"
"692","155574008","Asthma","J45.9","Asthma, unspecified"
"693","187687003","Asthma","J45.9","Asthma, unspecified"
"694","195967001","Asthma","J45.9","Asthma, unspecified"
"695","266365004","Asthma NOS","J45.9","Asthma, unspecified"
"696","689431000000102","Asthma NOS","J45.9","Asthma, unspecified"
"697","589241000000104","Asthma unspecified","J45.9","Asthma, unspecified"
"698","195979001","Asthma unspecified","J45.9","Asthma, unspecified"
"699","195939005","Asthmatic bronchitis","J45.9","Asthma, unspecified"
